slot	surface	auto_link	auto_status	auto_method	n_facts	example_fact_id	example_evidence	decision	decided_link	reviewer_notes
org	שילער פֿון דער ראָבינערשול		unmatched		9	P-1-facs_135_tr_1740521022:1#1	"ב. האָט געשפּילט די ראָל פֿון דער „אלמנה"""	AUTO_NEW		triage: no candidate; minted as new unlinked node
org	ווילנער	org_cluster:ORG-C00860	candidate	cluster_fuzzy_92	9	P-2-facs_238_tr_1744280834:1#2	"זומער 1921 גאַסטראָלירט מ. אין ווילנער העליאַס-טעאַטער אין פֿירט דאָ אויף אַנ-סקיס „דער דבוק"" אין 4 אַקטן"	GEMINI_ACCEPT	org_cluster:ORG-C00860	gemini: Common shorthand for the Vilna Troupe (ווילנער טרופע) in the context of An-sky's Dybbuk.
org	פּערהיפט	org_cluster:ORG-C02322	candidate	cluster_no_entity	8	P-4-facs_447_tr_1755029922:1#2	דעם 23 נאוועמבער 1957 — מאָריס שוואַרצס דראַמאַטיזאַציע פֿון שלום אַשס „קידוש השם“	AUTO_CLUSTER	org_cluster:ORG-C02322	triage: cluster-without-entity is the designed target
org	יידישער טרופּע	org_cluster:ORG-C05162	candidate	cluster_no_entity	7	P-2-facs_74_r_3:1#1	דאָ האָט י. פֿאַרפֿאַסט מוזיק צו „מאָנטאָ קריסטאָ“	AUTO_CLUSTER	org_cluster:ORG-C05162	triage: cluster-without-entity is the designed target
org	פאַרייניקטע טרופּע	org:888	candidate	fuzzy_97	6	P-5-facs_197_tr_1736588932:1#1	"1910 — אַריינגעטראָטן אין דער לאָדזשער „פֿאַרייניקטע טרופּע (מרים טרילינג, מ. ח. מיטעלמאַן, פעלאַ לאַנצמאַן, מאלווינאַ סיעראָצקאַ, לייזער זשעלאַזאָ, א'אַ) און דעביוטירט אַלס „פייגעלע"" אין טאָמאַשעווסקי"	AUTO_ACCEPT	org:888	triage: fuzzy 97 orthographic variant
org	נייעם טעאַטער	org_cluster:ORG-C07121	candidate	cluster_fuzzy_96	6	P-6-facs_566_tr_1752130132:1#2	"דעם 25 מערץ 1920 איז א'ר פֿון יעקב בן-עמי אויפֿגעפירט געוואָרן „גרינע פֿעלדער"" פֿון פרץ הירשביין. ב. גאָרין שריבט: „אַ באַזונדער מזל איז אויסגעפאַלן אויף הירשביינס ""גרינע פעלדער"". ... אין דעם נייעם טעאַטע"	GEMINI_ACCEPT	org_cluster:ORG-C07121	gemini: Refers to the New Theater (Nayer Teater) in New York, associated with Ben-Ami and Hirschbein's plays.
org	יידישער קונסט טעאַטער	org:713	candidate	fuzzy_95	5	P-4-facs_100_r:1#2	"ק. האָט אויך געשאַפן די דעקאָראַציעס צו סענדער ""בלאַנק"" פון שלום עליכם, אויפֿגעפֿירט פון יעקב ראָטבאום אין ""יידישער קונסט טעאַטער“, צו לייוויקס „דער נס פון געטאָ“ און „מיר וועלן לעבן"" פון דוד בערגעלסא"	GEMINI_ACCEPT	org:713	gemini: Standard orthographic variant (adjectival ending) for the Yiddish Art Theatre (Yiddish Kunst Teater).
org	באַמבערגער יידישע דראַמאַטישע סטודיע	org_cluster:ORG-C07329	candidate	cluster_no_entity	5	P-4-facs_597_tr_1755030192:1#1	"דאָרט געגרינדעט די ""באַמבערגער יידישע דראַמאַטישע סטודיע“, מיט וועלכער ער פֿירט אויף זיינע אייגענע דראַמאַטיזאַציעס (פֿון זכרון) פֿון אַשס „קידוש השם“"	AUTO_CLUSTER	org_cluster:ORG-C07329	triage: cluster-without-entity is the designed target
org	פּערהייט		unmatched		5	P-6-facs_425_r_5:1#2	דעם 17 דעצעמבער 1966 האָט דוד ליכט אויפֿגעפירט „דאָס פֿינפטע געבאָט“	AUTO_NEW		triage: no candidate; minted as new unlinked node
org	ליבהאָבער	org_cluster:ORG-C00167	candidate	cluster_no_entity	4	P-1-facs_256_tr_1741260273:1#2	"געשפּילט מיט „ליבהאָבער"". אַקטיאָרן זעען זי אין דער ראָל „עלוויראָ“ פֿון שאָרקאָנסקיס „כל נדרי"""	AUTO_CLUSTER	org_cluster:ORG-C00167	triage: cluster-without-entity is the designed target
org	מאַדיאָקאַט	org_cluster:ORG-C02118	candidate	cluster_no_entity	4	P-2-facs_213_r_27:1#1	"דאָס דריטע פּראָגראַם איז געגעבן געוואָרן דעם 22 סעפּטעמבער 1926 „דער דיבוק"", אַ פּאַראדיע פֿון זוני מאַנד"	AUTO_CLUSTER	org_cluster:ORG-C02118	triage: cluster-without-entity is the designed target
org	פֿאָלקסבינע	org_cluster:ORG-C00190_Q01	candidate	cluster_no_entity	4	P-3-facs_289_tr_1755803006:1#4	"דעם 13 מערץ איז אין „נאָראַ בעיס טעאַטער“, א""ר פון י. כיגאָרין, אויפֿגעפֿירט געוואָרן די דריי-אַקטיקע קאָמעדיע „קאָמעדיאַנטך- פֿון דער טינקעלער"	AUTO_CLUSTER	org_cluster:ORG-C00190_Q01	triage: cluster-without-entity is the designed target
