edge_id	source_id	target_id	edge_type	role_detail	character	date_start	date_end	date_precision	event_id	production_key	provenance_person_id	provenance_fact_ids	evidence_sentence	extraction_model	confidence	match_status	review_status
E-00001	play:PL-0001	person:683	authored_by											registry	high	matched	auto
E-00002	play:PL-0002	person:683	authored_by											registry	high	matched	auto
E-00003	play:PL-0003	person:683	authored_by											registry	high	matched	auto
E-00004	play:PL-0004	person:683	authored_by											registry	high	matched	auto
E-00005	play:PL-0005	person:683	authored_by											registry	high	matched	auto
E-00006	play:PL-0006	person:683	authored_by											registry	high	matched	auto
E-00007	play:PL-0007	person:683	authored_by											registry	high	matched	auto
E-00008	play:PL-0008	person:683	authored_by											registry	high	matched	auto
E-00009	play:PL-0009	person:683	authored_by											registry	high	matched	auto
E-00010	play:PL-0010	person:683	authored_by											registry	high	matched	auto
E-00011	play:PL-0011	person:683	authored_by											registry	high	matched	auto
E-00012	play:PL-0012	person:683	authored_by											registry	high	matched	auto
E-00013	play:PL-0013	person:683	authored_by											registry	high	matched	auto
E-00014	play:PL-0014	person:683	authored_by											registry	high	matched	auto
E-00015	play:PL-0015	person:683	authored_by											registry	high	matched	auto
E-00016	play:PL-0016	person:683	authored_by											registry	high	matched	auto
E-00017	play:PL-0017	person:683	authored_by											registry	high	matched	auto
E-00018	play:PL-0018	person:683	authored_by											registry	high	matched	auto
E-00019	play:PL-0019	person:683	authored_by											registry	high	matched	auto
E-00020	play:PL-0020	person:683	authored_by											registry	high	matched	auto
E-00021	play:PL-0021	person:683	authored_by											registry	high	matched	auto
E-00022	play:PL-0022	person:683	authored_by											registry	high	matched	auto
E-00023	play:PL-0023	person:683	authored_by											registry	high	matched	auto
E-00024	play:PL-0024	person:683	authored_by											registry	high	matched	auto
E-00025	play:PL-0025	person:683	authored_by											registry	high	matched	auto
E-00026	play:PL-0026	person:683	authored_by											registry	high	matched	auto
E-00027	play:PL-0027	person:683	authored_by											registry	high	matched	auto
E-00028	play:PL-0028	person:683	authored_by											registry	high	matched	auto
E-00029	play:PL-0029	person:683	authored_by											registry	high	matched	auto
E-00030	play:PL-0030	person:683	authored_by											registry	high	matched	auto
E-00031	play:PL-0031	person:683	authored_by											registry	high	matched	auto
E-00032	play:PL-0032	person:683	authored_by											registry	high	matched	auto
E-00033	play:PL-0033	person:683	authored_by											registry	high	matched	auto
E-00034	play:PL-0034	person:683	authored_by											registry	high	matched	auto
E-00035	play:PL-0035	person:683	authored_by											registry	high	matched	auto
E-00036	play:PL-0036	person:683	authored_by											registry	high	matched	auto
E-00037	play:PL-0037	person:683	authored_by											registry	high	matched	auto
E-00038	play:PL-0038	person:683	authored_by											registry	high	matched	auto
E-00039	play:PL-0039	person:683	authored_by											registry	high	matched	auto
E-00040	play:PL-0040	person:683	authored_by											registry	high	matched	auto
E-00041	play:PL-0041	person:683	authored_by											registry	high	matched	auto
E-00042	play:PL-0042	person:683	authored_by											registry	high	matched	auto
E-00043	play:PL-0043	person:683	authored_by											registry	high	matched	auto
E-00044	play:PL-0044	person:683	authored_by											registry	high	matched	auto
E-00045	play:PL-0045	person:683	authored_by											registry	high	matched	auto
E-00046	play:PL-0046	person:683	authored_by											registry	high	matched	auto
E-00047	play:PL-0047	person:683	authored_by											registry	high	matched	auto
E-00048	play:PL-0048	person:683	authored_by											registry	high	matched	auto
E-00049	play:PL-0049	person:683	authored_by											registry	high	matched	auto
E-00050	play:PL-0050	person:683	authored_by											registry	high	matched	auto
E-00051	play:PL-0051	person:683	authored_by											registry	high	matched	auto
E-00052	play:PL-0052	person:683	authored_by											registry	high	matched	auto
E-00053	play:PL-0053	person:683	authored_by											registry	high	matched	auto
E-00054	play:PL-0054	person:683	authored_by											registry	high	matched	auto
E-00055	play:PL-0055	person:683	authored_by											registry	high	matched	auto
E-00056	play:PL-0056	person:683	authored_by											registry	high	matched	auto
E-00057	play:PL-0057	person:683	authored_by											registry	high	matched	auto
E-00058	play:PL-0058	person:683	authored_by											registry	high	matched	auto
E-00059	play:PL-0059	person:683	authored_by											registry	high	matched	auto
E-00060	play:PL-0060	person:683	authored_by											registry	high	matched	auto
E-00061	play:PL-0061	person:683	authored_by											registry	high	matched	auto
E-00062	play:PL-0062	person:683	authored_by											registry	high	matched	auto
E-00063	play:PL-0063	person:683	authored_by											registry	high	matched	auto
E-00064	play:PL-0064	person:683	authored_by											registry	high	matched	auto
E-00065	play:PL-0065	person:683	authored_by											registry	high	matched	auto
E-00066	play:PL-0066	person:683	authored_by											registry	high	matched	auto
E-00067	play:PL-0067	person:683	authored_by											registry	high	matched	auto
E-00068	play:PL-0068	person:683	authored_by											registry	high	matched	auto
E-00069	play:PL-0069	person:683	authored_by											registry	high	matched	auto
E-00070	play:PL-0070	person:683	authored_by											registry	high	matched	auto
E-00071	play:PL-0071	person:683	authored_by											registry	high	matched	auto
E-00072	play:PL-0072	person:683	authored_by											registry	high	matched	auto
E-00073	play:PL-0073	person:683	authored_by											registry	high	matched	auto
E-00074	play:PL-0074	person:683	authored_by											registry	high	matched	auto
E-00075	play:PL-0075	person:683	authored_by											registry	high	matched	auto
E-00076	play:PL-0076	person:683	authored_by											registry	high	matched	auto
E-00077	play:PL-0077	person:683	authored_by											registry	high	matched	auto
E-00078	play:PL-0078	person:683	authored_by											registry	high	matched	auto
E-00079	play:PL-0079	person:683	authored_by											registry	high	matched	auto
E-00080	play:PL-0080	person:683	authored_by											registry	high	matched	auto
E-00081	play:PL-0081	person:683	authored_by											registry	high	matched	auto
E-00082	play:PL-0082	person:683	authored_by											registry	high	matched	auto
E-00083	play:PL-0083	person:683	authored_by											registry	high	matched	auto
