yiddish	wrong_qid	wrong_label	correct_qid	correct_label	cause
נואַרק/נואָרק/ניואַרק	Q60	New York	Q25395	Newark (provisional — verify vs NY)	ambiguous_name_exact
וויניפּעג	Q2096	Edmonton	Q2135	Winnipeg	ambiguous_name_exact/pick
קליוולענד	Q5083	Seattle	Q37320	Cleveland	ambiguous_name_exact/pick
טאַרנאָוו	(Kielce-pick)	Kielce	Q106281	Tarnów	ambiguous_name_exact
דראָהאָביטש	Q-Dorogobuzh	Dorogobuzh (Russia)	Q158821	Drohobych (Ukraine)	ambiguous_name_exact
וויליאַמסבורג	Q492346	Williamsburg (Virginia)	Q771572	Williamsburg (Brooklyn)	corpus_disambiguation
קובאַ/קובא	Q647982	Quba (Azerbaijan)	Q241	Cuba	devocalized_collision/disambig
טראָי	Q-Tarai	Tarai (India)	(Troy — disambiguate)	Troy	devocalized_collision
שול	Q2615865	Šiauliai Ghetto	(none — descriptor)	'synagogue' not a place	homograph_common_word
קהלה	Q550808	Kahla (Germany)	(none — descriptor)	'community' not a place	homograph_common_word
ארץ-ישראל (all vocalizations)	Q801	Israel (modern state)	Q155321	Land of Israel (historical region)	region_vs_modern
סימפעראָפּאָל	Q43421	Richmond	Q19566	Simferopol	translit_audit/person_mention_misresolution
אונגאַרן	Q181276	Szolnok	Q28	Hungary	translit_audit/person_mention_misresolution
רוסלאַנד	Q900	Kazan	Q159	Russia	translit_audit/person_mention_misresolution
רומעניע	Q596609	Vișeu de Sus	Q218	Romania	translit_audit/person_mention_misresolution
טישמיעניץ	Q973977	Abirim	Q156588	Tysmenytsia	translit_audit/person_mention_misresolution
באָריסאָוו	Q207294	Babruysk	Q19313	Barysaw	translit_audit/person_mention_misresolution
פּוילן	Q104725	Płock	Q36	Poland	translit_audit/person_mention_misresolution
קאָנאָדע	Q92561	London	Q16	Canada	translit_audit/person_mention_misresolution
בריסק ליטאָווסק	Q12193	Brest	Q140147	Brest	translit_audit/person_mention_misresolution
דניעפּראָפּיעטראָווסק	Q43295	Villeneuve-d'Ascq (France)	Q48256	Dnipro	kima_name_exact/devocalized_collision
האַרלעם	Q41183	Aleppo (Syria)	Q189074	Harlem	kima_name_exact/devocalized_collision
טאָמסק	Q5687	Jericho (West Bank)	Q976	Tomsk	kima_name_exact/devocalized_collision
האַרלעם/האָרלעם	Q41183	Harlem(=Aleppo kima)	Q189074	Harlem (NYC)	kima_name_exact/devocalized_collision (org collapse)
סימפּעראָפּאל	Q43421	Richmond (Va.)	Q19566	Simferopol	translit_audit/person_mention_misresolution
אָפּט (אָפּאַטאָוו)	*	map_to:552	Q275694	Maaty	flat
ניעסוויזש	*	map_to:8141	Q2091651	Maaty	flat
סלאָוויטע	*	map_to:846	Q856018	Maaty	flat
קאָרנין	*	wikidata:Q2980432	Q2980432	Maaty	flat
